# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
yan zhong 	严重	c=1 d=1.22244e-10 t=14785
yang 	养	c=1 d=4.83568e-12 t=14785
yang 	杨	c=3 d=4.06324e-09 t=14785
yang mi 	杨幂	c=1 d=2.42463e-08 t=14785
yang shi 	样式	c=6 d=0.00292342 t=14785
yao 	药	c=3 d=3.26128e-06 t=14785
yao 	要	c=20 d=0.29913 t=14785
yao bu 	要不	c=0 d=0.0554328 t=14785
yao bu tong yi 	要不统一	c=1 d=7.83104e-07 t=14785
yao bu wo qu jie ni a 	要不我去接你啊	c=1 d=1 t=14668
yao bu yao 	要不要	c=0 d=0.000904991 t=14785
yao bu yao kai che 	要不要开车	c=1 d=0.00909528 t=14785
yao bu yao zou 	要不要走	c=1 d=1.65811e-08 t=14785
yao fang dao 	要放到	c=2 d=1.98511 t=10758
yao gai 	要改	c=2 d=0.315796 t=14785
yao gai cheng 	要改成	c=1 d=0.323033 t=14785
yao gan sha 	要干啥	c=1 d=7.43621e-16 t=14785
yao ge 	要个	c=1 d=4.89227e-13 t=14785
yao ge hai zi 	要个孩子	c=1 d=4.50876e-12 t=14785
yao geng xin 	要更新	c=1 d=0.00019549 t=14785
yao jia 	要加	c=1 d=1.97724e-20 t=14785
yao le 	要了	c=0 d=2.25135e-19 t=14785
yao le ni de dian hua 	要了你的电话	c=1 d=2.26264e-18 t=14785
yao me 	要么	c=2 d=6.2294e-13 t=14785
yao qing 	邀请	c=2 d=8.00278e-08 t=14785
yao qiu 	要求	c=7 d=0.349917 t=14785
yao shi 	钥匙	c=3 d=0.00091142 t=14785
yao shi gei ni 	钥匙给你	c=1 d=0.00914087 t=14785
yao shu ru 	要输入	c=0 d=0.1 t=9522
yao wen 	要问	c=1 d=1 t=10014
yao xiao xin 	要小心	c=1 d=1 t=13900
yao yi 	要一	c=0 d=3.42472e-13 t=14785
yao yi ge 	要一个	c=1 d=3.44189e-12 t=14785
ye 	也	c=12 d=0.0402236 t=14785
ye bing bu shi 	也并不是	c=1 d=1.26948e-13 t=14785
ye bu 	也不	c=1 d=1.5473e-12 t=14785
ye bu cuo 	也不错	c=1 d=1.18365e-15 t=14785
ye bu dui 	也不对	c=1 d=1 t=10818
ye bu hui 	也不会	c=4 d=1.56129e-06 t=14785
ye bu leng 	也不冷	c=1 d=1 t=13387
ye bu neng huan 	也不能换	c=1 d=2.32315e-05 t=14785
ye bu nuo che 	也不挪车	c=1 d=1.44223e-14 t=14785
ye bu shi 	也不是	c=3 d=4.26977e-12 t=14785
ye bu shuo 	也不说	c=1 d=1.56235e-14 t=14785
ye bu suan 	也不算	c=0 d=2.56434e-21 t=14785
ye bu tai dong 	也不太懂	c=1 d=1.73502e-12 t=14785
ye bu xia che 	也不下车	c=1 d=1.57018e-14 t=14785
ye bu xiang 	也不想	c=1 d=1.34126e-13 t=14785
ye bu xing 	也不行	c=1 d=2.49457e-19 t=14785
ye bu xu yao 	也不需要	c=1 d=1 t=10026
ye bu zai 	也不在	c=1 d=5.9677e-16 t=14785
ye bu zhi dao 	也不知道	c=3 d=6.00911e-09 t=14785
ye de 	也得	c=1 d=6.50841e-07 t=14785
ye dou shi 	也都是	c=1 d=0.117068 t=14785
ye hai 	也还	c=0 d=1.04188e-09 t=14785
ye hai ke yi 	也还可以	c=1 d=3.69146e-12 t=14785
ye hai neng jie shou 	也还能接受	c=1 d=1.04674e-08 t=14785
ye hen 	也很	c=1 d=1 t=14638
ye hui 	也会	c=2 d=0.000175878 t=14785
ye hui kuai yi xie 	也会快一些	c=1 d=1 t=13509
ye ji 	业绩	c=3 d=0.0140365 t=14785
ye jia yi 	也加一	c=1 d=5.70608e-18 t=14785
ye jiu 	也就	c=2 d=2.05628e-08 t=14785
ye jiu shi 	也就是	c=1 d=1 t=13548
ye kan bu dong 	也看不懂	c=1 d=2.89483e-05 t=14785
ye ke 	也可	c=1 d=4.36792e-21 t=14785
ye ke yi 	也可以	c=3 d=1.17695e-05 t=14785
ye kuai 	也快	c=1 d=8.92277e-13 t=14785
ye li 	夜里	c=0 d=0.0224249 t=14785
ye li pai 	夜里拍	c=1 d=0.225373 t=14785
ye liang cheng 	叶良诚	c=1 d=9.35125e-06 t=14785
ye m 	也没	c=1 d=1.11147e-08 t=14785
ye mei 	也没	c=2 d=0.000194146 t=14785
ye mei ban fa 	也没办法	c=1 d=3.97964e-14 t=14785
ye mei guan xi 	也没关系	c=1 d=1.14077e-20 t=14785
ye mei na me 	也没那么	c=1 d=1.39599e-13 t=14785
ye mei po jie 	也没破解	c=1 d=1.03615e-06 t=14785
ye mei yong 	也没用	c=1 d=1 t=9725
ye mei you 	也没有	c=1 d=5.86168e-11 t=14785
ye meng 	叶梦	c=0 d=5.44276e-22 t=14785
ye meng jia 	叶梦佳	c=1 d=5.47005e-21 t=14785
ye mian 	页面	c=21 d=0.800389 t=14785
ye mian er yi 	页面而已	c=1 d=7.37625e-09 t=14785
ye mian jie kou 	页面接口	c=3 d=2.4426 t=14785
ye neng 	也能	c=2 d=2.24944e-08 t=14785
ye shi 	也是	c=12 d=0.802519 t=14785
ye shi mei qi 	也是煤气	c=1 d=1.26293e-11 t=14785
ye wan 	夜晚	c=1 d=1 t=14603
ye wu 	业务	c=8 d=0.552538 t=14785
ye wu dai ma 	业务代码	c=1 d=1 t=13703
ye wu liu cheng 	业务流程	c=1 d=0.615697 t=14785
ye xing 	也行	c=2 d=8.11158e-19 t=14785
ye xu 	也许	c=1 d=1 t=9879
ye xu shi 	也许是	c=1 d=1 t=9797
ye xu yao 	也需要	c=4 d=1.19112e-07 t=14785
ye yao 	也要	c=0 d=0.1 t=10904
ye yao dui shang 	也要对上	c=1 d=1 t=10905
ye yong 	也用	c=1 d=9.57463e-19 t=14785
ye you 	也有	c=2 d=4.56353e-07 t=14785
ye you pian yi 	也有便宜	c=1 d=2.35378e-12 t=14785
ye you you hui 	也有优惠	c=1 d=3.72856e-12 t=14785
ye zai 	也在	c=1 d=1 t=12897
ye zhi neng 	也只能	c=1 d=7.6455e-19 t=14785
ye zhi you 	也只有	c=1 d=7.54731e-14 t=14785
ye zhu 	业主	c=0 d=9.31254e-17 t=14785
ye zhu qun 	业主群	c=1 d=9.35922e-16 t=14785
ye zuo 	也做	c=1 d=3.50963e-06 t=14785
yi 	一	c=13 d=0.207113 t=14785
yi 	以	c=5 d=5.09854e-05 t=14785
yi 	已	c=3 d=1.21784e-05 t=14785
yi ba suo 	一把锁	c=1 d=1 t=13702
yi ban 	一半	c=2 d=8.3769e-05 t=14785
yi ban 	一般	c=4 d=0.0967199 t=14785
yi ban ban 	一般般	c=0 d=1.25318e-09 t=14785
yi ban ban ba 	一般般吧	c=1 d=1.25946e-08 t=14785
yi ban dou shi 	一般都是	c=1 d=2.2502e-12 t=14785
yi ban yi ban 	一半一半	c=1 d=1 t=14705
yi bian 	一遍	c=1 d=5.05227e-10 t=14785
yi bu 	一部	c=1 d=1 t=13935
yi bu 	异步	c=1 d=1 t=13936
yi bu dao wei 	一步到位	c=1 d=1 t=11884
yi bu fen 	一部分	c=2 d=0.0415857 t=14785
yi ce 	一侧	c=4 d=2.64498 t=10910
yi ceng 	一层	c=2 d=1.43605 t=10837
yi chang 	异常	c=22 d=0.684359 t=14785
yi chang chu li 	异常处理	c=1 d=1 t=11746
yi chu 	溢出	c=1 d=1 t=9742
yi chu 	移除	c=1 d=0.960789 t=14785
yi ci 	一次	c=3 d=0.000185393 t=14785
yi dian 	一点	c=1 d=4.71388e-06 t=14785
yi dian ye 	一点也	c=0 d=0.1 t=10390
yi dian ye bu hui 	一点也不会	c=1 d=1 t=10391
yi ding 	一定	c=4 d=5.85966e-07 t=14785
yi ding hui 	一定会	c=1 d=0.000145173 t=14785
yi ding hui zhuan 	一定会转	c=1 d=0.00145901 t=14785
yi ding ye 	一定也	c=0 d=0.1 t=10389
yi ding ye bu hui 	一定也不会	c=1 d=1 t=10390
yi ding you 	一定有	c=0 d=5.2502e-10 t=14785
yi ding you wei zhi 	一定有位置	c=1 d=5.27651e-09 t=14785
yi dong dao 	移动到	c=1 d=1 t=14055
yi fa 	依法	c=0 d=1.13941e-07 t=14785
yi fa qi 	依法起	c=1 d=1.14512e-06 t=14785
yi fa qi 	已发起	c=1 d=0.000121572 t=14785
yi fa qi 	易发期	c=1 d=1.13941e-06 t=14785
yi fen 	一份	c=2 d=0.000430743 t=14785
yi fen zhong 	一分钟	c=1 d=1 t=9606
yi fu 	一夫	c=2 d=0.000269431 t=14785
yi fu 	衣服	c=1 d=1 t=10608
yi ge 	一个	c=56 d=1.56409 t=14785
yi ge dian pu 	一个店铺	c=1 d=1 t=10005
yi ge duo 	一个多	c=1 d=5.61825e-12 t=14785
yi ge ge 	一个个	c=1 d=1 t=12995
yi ge jiu shi 	一个就是	c=1 d=1.36412e-06 t=14785
yi ge lei 	一个类	c=2 d=6.01788e-15 t=14785
yi ge ren 	一个人	c=1 d=1 t=10594
yi ge shi 	一个是	c=1 d=1 t=12104
yi ge xian cheng 	一个线程	c=3 d=2.37691 t=14123
yi ge yue 	一个月	c=2 d=2.23249e-08 t=14785
yi ge zi 	一个字	c=2 d=1.91851 t=9506
yi gong 	一共	c=0 d=1.85508e-06 t=14785
yi guan 	一罐	c=2 d=1.39402e-11 t=14785
yi guo 	已过	c=1 d=1 t=14733
yi hang ming ling 	一行命令	c=1 d=2.81262e-19 t=14785
yi hou 	以后	c=9 d=0.216902 t=14785
yi hui er 	一会儿	c=4 d=3.47821e-08 t=14785
yi ji 	一级	c=4 d=2.11297e-07 t=14785
yi ji 	以及	c=8 d=3.38896e-07 t=14785
yi ji bu men 	以及部门	c=2 d=6.85849e-18 t=14785
yi jia 	一家	c=0 d=3.45738e-07 t=14785
yi jia san kou 	一家三口	c=1 d=0.00125578 t=14785
yi jie jue 	已解决	c=5 d=6.99959e-10 t=14785
yi jing 	已经	c=9 d=0.00112181 t=14785
yi jing bu shu le 	已经部署了	c=1 d=1.70125e-16 t=14785
yi jing cun zai 	已经存在	c=1 d=1 t=10126
yi jing fa dao 	已经发到	c=1 d=1.5037e-05 t=14785
yi jing ke yi le 	已经可以了	c=1 d=1.13392e-08 t=14785
yi jing shui le 	已经睡了	c=1 d=1 t=10431
yi jing tong bu guo qu le 	已经同步过去了	c=1 d=1.52824e-19 t=14785
yi jing wan cheng 	已经完成	c=1 d=5.46353e-07 t=14785
yi jing zhang dao 	已经涨到	c=1 d=1 t=9774
yi jing zheng he 	已经整合	c=1 d=1 t=9617
yi ju hua 	一句话	c=2 d=2.98244e-14 t=14785
yi ju liang de 	一举两得	c=1 d=2.86057e-12 t=14785
yi kou 	一口	c=1 d=9.38025e-13 t=14785
yi lai 	一来	c=1 d=7.77451e-10 t=14785
yi lai 	依赖	c=2 d=0.0137736 t=14785
yi lai hui 	一来回	c=1 d=0.00341356 t=14785
yi liang 	一辆	c=1 d=7.73705e-12 t=14785
yi liang tian 	一两天	c=1 d=4.91979e-09 t=14785
yi liao fei 	医疗费	c=1 d=1 t=10968
yi mi 	一米	c=0 d=1.70096e-15 t=14785
yi mian 	一面	c=0 d=0.1 t=11796
yi miao 	疫苗	c=1 d=0.000239969 t=14785
yi nei 	以内	c=1 d=0.0185924 t=14785
yi nian 	一年	c=1 d=0.00301245 t=14785
yi nian xia lai 	一年下来	c=1 d=1.08159e-11 t=14785
yi pi 	一批	c=2 d=1.82971e-09 t=14785
yi ping 	一平	c=3 d=0.000113353 t=14785
yi qi 	一起	c=4 d=4.56202e-05 t=14785
yi qi zai pin 	一起再拼	c=1 d=1 t=10217
yi qi zhi xing 	一起执行	c=1 d=1 t=12734
yi qi zou 	一起走	c=0 d=5.80731e-20 t=14785
yi qian 	以前	c=2 d=1 t=14599
yi quan 	一拳	c=1 d=0.995012 t=14785
yi quan chao ren 	一拳超人	c=2 d=0.843665 t=14785
yi qun 	一群	c=0 d=0.1 t=13816
yi shang 	以上	c=2 d=0.0411837 t=14785
yi shang chuan 	以上传	c=1 d=2.28577e-20 t=14785
yi shen 	一身	c=1 d=1.07899e-12 t=14785
yi sheng 	医生	c=1 d=0.0997588 t=14785
yi shu 	艺术	c=1 d=1 t=14580
yi shuang 	一双	c=1 d=2.35826e-05 t=14785
yi si 	意思	c=2 d=4.76306e-06 t=14785
yi sui 	一岁	c=0 d=4.07969e-13 t=14785
yi sui duo 	一岁多	c=1 d=4.10014e-12 t=14785
yi tang 	一趟	c=1 d=3.33098e-09 t=14785
yi tang gong si 	一趟公司	c=1 d=1 t=10617
yi tao 	一套	c=1 d=0.839457 t=14785
yi te si la 	以特斯拉	c=1 d=1.5898e-13 t=14785
yi ti gong 	以提供	c=0 d=0.1 t=13096
yi ti gong zui he shi 	以提供最合适	c=1 d=1 t=13097
yi tian 	一天	c=9 d=0.132384 t=14785
yi tiao 	一条	c=1 d=2.2007e-15 t=14785
yi tiao shui ping xian 	一条水平线	c=1 d=1.6351e-20 t=14785
yi tiao xian 	一条线	c=2 d=1.67032 t=10745
yi tu sou tu 	以图搜图	c=1 d=1 t=11250
yi wan cheng 	已完成	c=11 d=0.0007329 t=14785
yi wei 	一位	c=1 d=8.14925e-05 t=14785
yi wei zhe 	意味着	c=2 d=1.00001 t=12651
yi wen 	疑问	c=1 d=0.106992 t=14785
yi xia 	一下	c=16 d=0.00854779 t=14785
yi xia ba 	一下吧	c=0 d=2.04488e-05 t=14785
yi xia ji zhong 	以下几种	c=1 d=1.00638e-16 t=14785
yi xiang 	意向	c=1 d=1.99677e-18 t=14785
yi xie 	一些	c=5 d=9.98051e-07 t=14785
yi xiu gai 	已修改	c=2 d=4.47469e-11 t=14785
yi yang 	一样	c=10 d=0.00371899 t=14785
yi yang de 	一样的	c=1 d=1 t=14753
yi yang ma 	一样吗	c=1 d=1 t=13898
yi ye 	一夜	c=1 d=3.56449e-12 t=14785
yi yi ge 	以一个	c=1 d=1 t=13544
yi zhi 	一直	c=9 d=0.000173228 t=14785
yi zhi 	一致	c=1 d=1 t=10748
yi zhi dou 	一直都	c=0 d=1.62246e-18 t=14785
yi zhi dou bu xing 	一直都不行	c=1 d=1.6306e-17 t=14785
yi zhi mei you 	一直没有	c=1 d=1 t=13225
yi zhi zai 	一直在	c=1 d=1.26926e-11 t=14785
yi zhong 	一种	c=1 d=1 t=14576
yi zhou 	一周	c=1 d=1.01387e-15 t=14785
yi zu 	一组	c=1 d=1 t=12002
yin 	因	c=1 d=1 t=12785
yin cang 	隐藏	c=1 d=5.44943e-06 t=14785
yin ci 	因此	c=2 d=0.065219 t=14785
yin gai 	因该	c=2 d=1.00003 t=11904
yin hang 	银行	c=4 d=2.22085e-18 t=14785
yin hao 	引号	c=1 d=3.1289e-08 t=14785
yin huan 	隐患	c=1 d=0.0655462 t=14785
yin qi 	引起	c=1 d=3.5571e-17 t=14785
yin qing 	引擎	c=3 d=1.30002e-16 t=14785
yin qing shi 	引擎时	c=1 d=4.63644e-17 t=14785
yin wei 	因为	c=10 d=0.420557 t=14785
yin xiang bi ji 	印象笔记	c=2 d=0.0270518 t=14785
yin xing 	音型	c=4 d=2.72057 t=9534
yin xing 	音形	c=8 d=1.05652 t=10974
yin yong 	引用	c=3 d=3.23868e-06 t=14785
yin yong shu ju lei xing 	引用数据类型	c=1 d=1 t=11848
yin yue 	音乐	c=1 d=6.71462e-21 t=14785
ying 	应	c=0 d=0.1 t=10812
ying er 	婴儿	c=1 d=7.77584e-12 t=14785
ying er che 	婴儿车	c=1 d=6.69273e-12 t=14785
ying gai 	应该	c=21 d=0.357626 t=14785
ying gai bu shi zhen de 	应该不是真的	c=1 d=2.53883e-20 t=14785
ying gai ke yi 	应该可以	c=0 d=8.44383e-12 t=14785
ying gai ke yi le 	应该可以了	c=1 d=8.48616e-11 t=14785
ying gai shi 	应该是	c=6 d=0.0629761 t=14785
ying gai you ge 	应该有个	c=1 d=7.40038e-18 t=14785
ying jian 	硬件	c=1 d=1.00002 t=14178
ying shi 	影视	c=2 d=2.53303e-08 t=14785
ying wen 	英文	c=5 d=1.9587e-06 t=14785
ying xiang 	影响	c=6 d=1.35383e-05 t=14785
ying xiao 	营销	c=2 d=0.011109 t=14785
ying yong 	应用	c=5 d=1.00584 t=14174
ying you 	应有	c=1 d=1 t=13242
ying you jin you 	应有尽有	c=1 d=1 t=10536
ying yu dan ci 	英语单词	c=1 d=1.80552e-10 t=14785
yong 	用	c=24 d=0.71177 t=14785
yong ba 	用吧	c=1 d=1 t=13873
yong bing xing 	用并行	c=1 d=1 t=12589
yong bu 	永不	c=0 d=5.53179e-07 t=14785
yong bu dao 	用不到	c=1 d=1 t=11202
yong bu kai qi 	永不开启	c=1 d=5.55951e-06 t=14785
yong bu liao 	用不了	c=1 d=0.289384 t=14785
yong chu 	用处	c=1 d=1.0193e-19 t=14785
yong dao 	用到	c=2 d=1.0192e-06 t=14785
yong de 	用的	c=8 d=0.000546729 t=14785
yong de duo ma 	用的多玛	c=1 d=1 t=13600
yong gong 	用工	c=0 d=8.70691e-20 t=14785
yong gong ji jin 	用工基金	c=1 d=8.75055e-19 t=14785
yong hu 	用户	c=18 d=4.9777e-05 t=14785
yong hu guan li 	用户管理	c=1 d=0.839457 t=14785
yong hu ke yi 	用户可以	c=1 d=1 t=13017
yong hu ming 	用户名	c=1 d=1.54229e-09 t=14785
yong hu tong yi 	用户同意	c=1 d=1.23431e-06 t=14785
yong hu xian cheng 	用户线程	c=5 d=1.13137 t=13451
yong jin 	用尽	c=1 d=1 t=12868
yong jiu 	永久	c=0 d=0.1 t=12288
yong jiu dai 	永久代	c=2 d=1.9802 t=12293
yong lai 	用来	c=3 d=1.27827e-06 t=14785
yong le 	用了	c=1 d=8.46571e-13 t=14785
yong nuo ji ya 	用诺基亚	c=1 d=1 t=13891
yong shi 	勇士	c=1 d=4.38832e-17 t=14785
yong tu 	用途	c=1 d=1.15943e-05 t=14785
yong yi 	用以	c=1 d=1 t=14654
yong yi xia 	用一下	c=0 d=0.1 t=13886
yong you 	拥有	c=2 d=4.91428e-17 t=14785
yong yu 	用于	c=5 d=0.00154286 t=14785
you 	又	c=11 d=0.000111118 t=14785
you 	右	c=1 d=1.09802 t=10640
you 	有	c=29 d=0.150517 t=14785
you 	油	c=2 d=1.64404 t=12123
you 	由	c=4 d=8.03873e-08 t=14785
you bao cun 	有保存	c=1 d=0.0300468 t=14785
you bao cuo 	有报错	c=1 d=1.03703e-16 t=14785
you bian 	邮编	c=1 d=1 t=10438
you bu 	又不	c=0 d=9.11176e-17 t=14785
you ce 	右侧	c=3 d=2.23172 t=10952
you che 	有车	c=1 d=8.63964e-16 t=14785
you che 	油车	c=2 d=2.25766e-11 t=14785
you dao li 	有道理	c=2 d=0.0209395 t=14785
you de 	有的	c=10 d=0.00791591 t=14785
you de jiu shi 	有的就是	c=1 d=6.26833e-06 t=14785
you de ren 	有的人	c=3 d=0.10302 t=14785
you de shi hou 	有的时候	c=1 d=3.08494e-18 t=14785
you deng 	油灯	c=1 d=1 t=14651
you dian 	优点	c=1 d=1 t=12836
you dian 	有点	c=4 d=0.114272 t=14785
you dian da 	有点大	c=0 d=0.1 t=14697
you dian dong xi 	有点东西	c=1 d=8.74609e-13 t=14785
you dian gao 	有点高	c=1 d=1 t=14740
you dian li hai 	有点厉害	c=1 d=4.08108e-16 t=14785
you dian pang 	有点胖	c=1 d=1 t=13830
you dian wan 	有点晚	c=1 d=1 t=14666
you dian xian 	有点闲	c=1 d=7.99332e-13 t=14785
you dian yan 	有点严	c=2 d=1.84005e-18 t=14785
you duo ge 	有多个	c=1 d=2.32474e-13 t=14785
you duo shao 	有多少	c=0 d=1.85155e-13 t=14785
you er yuan 	幼儿园	c=1 d=3.37779e-12 t=14785
you er yuan le 	幼儿园了	c=1 d=4.76368e-12 t=14785
you fei 	油费	c=1 d=1 t=9773
you ge 	有个	c=9 d=0.0652467 t=14785
you ge xian zhi 	有个限制	c=1 d=1.16362e-18 t=14785
you guan 	有关	c=1 d=1 t=13578
you guan xi 	有关系	c=2 d=1.17119 t=9937
you guo 	有过	c=1 d=1 t=11267
you hao 	友好	c=1 d=9.33028e-09 t=14785
you hao chu 	有好处	c=1 d=5.58928e-10 t=14785
you hao zhuan 	友好转	c=1 d=2.72717e-09 t=14785
you hen duo 	有很多	c=1 d=7.43495e-14 t=14785
you hua 	优化	c=3 d=0.00113638 t=14785
you hua dai ma 	优化代码	c=1 d=8.61148e-07 t=14785
you hui 	优惠	c=0 d=3.70996e-13 t=14785
you ji dian 	有几点	c=1 d=0.106459 t=14785
you ji ge 	有几个	c=4 d=6.23464e-07 t=14785
you ji hui 	有机会	c=1 d=1 t=11795
you ji zhong 	有几种	c=1 d=9.24374e-17 t=14785
you jia 	又加	c=1 d=1 t=12015
you jia mi 	有加密	c=1 d=2.04523e-06 t=14785
you jian 	右键	c=1 d=7.54988e-18 t=14785
you jie mian 	有界面	c=1 d=5.43906e-13 t=14785
you ke yi 	又可以	c=1 d=3.1004e-18 t=14785
you kong 	有空	c=2 d=0.226989 t=14785
you kong a 	有空啊	c=1 d=1 t=14354
you le 	有了	c=1 d=3.45019e-12 t=14785
you le ma 	有了吗	c=1 d=0.103312 t=14785
you le you le 	有了有了	c=1 d=1.47568e-19 t=14785
you le zhou qi 	有了周期	c=1 d=1 t=9968
you li yu 	有利于	c=1 d=1 t=11098
you liang ge 	有两个	c=0 d=0.1 t=10547
you mei you 	又没有	c=1 d=0.000418012 t=14785
you mei you 	有没有	c=1 d=0.0650509 t=14785
you mei you da lao 	有没有大佬	c=1 d=4.70811e-21 t=14785
you mei you hao zhuan 	有没有好转	c=1 d=8.52869e-11 t=14785
you mei you yong dao 	有没有用到	c=1 d=1 t=12004
you neng 	又能	c=1 d=2.65523e-18 t=14785
you ni de ming zi 	有你的名字	c=1 d=9.10922e-21 t=14785
you ni you wo 	有你有我	c=1 d=1 t=14564
you qi 	尤其	c=0 d=2.34323e-19 t=14785
you qi nang 	有气囊	c=1 d=8.81268e-14 t=14785
you qi ta 	尤其他	c=1 d=2.35498e-18 t=14785
you qu 	又去	c=1 d=0.00134335 t=14785
you qu diao 	又去掉	c=1 d=0.0135009 t=14785
you quan xian 	有权限	c=1 d=1 t=14721
you ran zi de 	悠然自得	c=1 d=1 t=14616
you ren 	有人	c=3 d=0.114668 t=14785
you ren he 	有任何	c=1 d=1 t=10397
you sha 	有啥	c=2 d=0.000174253 t=14785
you sha qu bie ma 	有啥区别吗	c=1 d=9.86622e-19 t=14785
you shan chu 	有删除	c=1 d=1 t=14684
you shang jiao 	右上角	c=2 d=1 t=14530
you shen me 	有什么	c=3 d=6.27153e-12 t=14785
you sheng yin 	有声音	c=1 d=1 t=12451
you shi 	有事	c=1 d=5.58738e-06 t=14785
you shi 	有时	c=2 d=1.26577e-08 t=14785
you shi ke yi 	有时可以	c=1 d=1.40347e-17 t=14785
you shou 	右手	c=2 d=1.45967 t=10906
you shou gong shi 	右手公式	c=5 d=1 t=14531
you shu ju 	有数据	c=0 d=1.22032e-20 t=14785
you shuo 	又说	c=2 d=1.42547e-15 t=14785
you si ge 	有四个	c=1 d=1 t=11363
you sun 	有损	c=1 d=2.55598e-11 t=14785
you tian jia le 	又添加了	c=1 d=1 t=10315
you wen ti 	有问题	c=4 d=0.000278173 t=14785
you xi 	游戏	c=1 d=1.00882e-15 t=14785
you xia 	右下	c=1 d=1 t=10684
you xia jiao 	右下角	c=1 d=7.36347e-18 t=14785
you xian gong si 	有限公司	c=1 d=1 t=11609
you xian ji 	优先级	c=1 d=1 t=14061
you xiao qi 	有效期	c=2 d=0.00299743 t=14785
you xie 	有些	c=1 d=1 t=10618
you xing qu 	有兴趣	c=1 d=1.32381e-06 t=14785
you xiu 	优秀	c=1 d=0.000178718 t=14785
you xu xing 	有序性	c=1 d=1 t=14103
you yi 	右移	c=1 d=1 t=10760
you yi 	有一	c=0 d=1.10363e-14 t=14785
you yi chang 	游艺场	c=1 d=0.159614 t=14785
you yi ci 	有一次	c=0 d=1.22899e-15 t=14785
you yi ge 	有一个	c=2 d=2.45533e-09 t=14785
you yi kuai 	有一块	c=0 d=0.1 t=14516
you yi kuai jue kuai 	有一块谲狯	c=1 d=1 t=14517
you yi liang 	有一辆	c=1 d=1.46403e-14 t=14785
you yi liang ge 	有一两个	c=1 d=3.60093e-14 t=14785
you yi tai dian nao 	有一泰电脑	c=1 d=6.02665e-14 t=14785
you yi xie 	有一些	c=1 d=1 t=11273
you ying xiang 	有影响	c=1 d=6.62839e-16 t=14785
you you 	又有	c=1 d=1.12865e-12 t=14785
you yu 	由于	c=3 d=0.162026 t=14785
you yuan lai 	由原来	c=1 d=4.52196e-17 t=14785
you zhe ge 	有这个	c=0 d=3.67367e-15 t=14785
you zhi 	有值	c=2 d=1.96079 t=14785
you zuo yong 	有作用	c=1 d=2.60717e-09 t=14785
yu 	与	c=43 d=1.06994 t=14785
yu 	于	c=2 d=0.344728 t=14785
yu ce 	预测	c=1 d=1 t=13015
yu dao 	遇到	c=1 d=0.554327 t=14785
yu di 	雨滴	c=2 d=5.64041e-16 t=14785
yu er 	育儿	c=1 d=0.000302025 t=14785
yu fa 	语法	c=1 d=3.61209e-21 t=14785
yu gu 	预估	c=1 d=0.254107 t=14785
yu ju 	语句	c=3 d=5.38068e-17 t=14785
yu mi 	玉米	c=1 d=1 t=10451
yu mi xin 	玉米芯	c=1 d=1 t=10444
yu min 	渔民	c=1 d=1 t=14614
yu ming 	域名	c=1 d=3.60277e-20 t=14785
yu shua qi 	雨刷器	c=2 d=1.29287e-13 t=14785
yu yan 	语言	c=2 d=0.100047 t=13811
yu yin ti shi 	语音提示	c=1 d=1 t=10964
yu yue 	预约	c=3 d=5.61539e-06 t=14785
yuan 	元	c=5 d=0.0535066 t=14785
yuan 	员	c=4 d=0.0487231 t=14785
yuan 	远	c=1 d=9.88671e-14 t=14785
yuan cheng 	远程	c=4 d=6.98034e-07 t=14785
yuan cheng yi xia 	远程一下	c=1 d=1.35216e-20 t=14785
yuan fen ba 	缘分吧	c=1 d=1 t=11801
yuan gong 	员工	c=13 d=0.0819112 t=14785
yuan gong guan xi 	员工关系	c=1 d=0.843665 t=14785
yuan kong jian 	元空间	c=1 d=1 t=12032
yuan lai 	原来	c=2 d=0.0017555 t=14785
yuan lai shi 	原来是	c=1 d=6.15154e-20 t=14785
yuan li 	原理	c=4 d=1.00099 t=13653
yuan ma 	源码	c=4 d=0.0719571 t=14785
yuan ma 	远吗	c=2 d=0.00451658 t=14785
yuan ma ru xia 	源码如下	c=1 d=1 t=13710
yuan ma zhong 	源码中	c=1 d=1 t=14152
yuan shi 	原始	c=2 d=1.47062e-08 t=14785
yuan shi xin xi 	原始信息	c=1 d=2.21211e-17 t=14785
yuan shu ju 	元数据	c=1 d=5.4485e-05 t=14785
yuan su 	元素	c=3 d=0.000791454 t=14785
yuan su ju 	元素据	c=1 d=2.16831e-17 t=14785
yuan wen 	原文	c=2 d=2.72166e-14 t=14785
yuan wen jian 	源文件	c=1 d=3.51082e-10 t=14785
yuan xing 	原型	c=8 d=1.14717e-08 t=14785
yuan xing tu 	原型图	c=2 d=5.41461e-10 t=14785
yuan yin 	原因	c=5 d=0.209088 t=14785
yuan ze 	原则	c=1 d=1 t=14140
yuan zi 	原子	c=3 d=1.70117 t=14389
yuan zi cao zuo 	原子操作	c=0 d=0.1 t=13726
yuan zi lei 	原子类	c=0 d=0.1 t=14386
yuan zi xing 	原子性	c=1 d=0.339309 t=14387
yue 	月	c=2 d=1.00102e-12 t=14785
yue 	约	c=1 d=1 t=10409
yue 	越	c=1 d=0.0097061 t=14785
